Country Name,Country Code,Indicator Name GDP,Year,GDP,Indicator Name LifeExp,Life Expectancy
Chile,CHL,GDP (current US$),1960,4110000000.0,"Life expectancy at birth, total (years)",57.015
China,CHN,GDP (current US$),1960,59716249310.9742,"Life expectancy at birth, total (years)",33.275
United Kingdom,GBR,GDP (current US$),1960,73233967692.1028,"Life expectancy at birth, total (years)",71.1268292682927
Mexico,MEX,GDP (current US$),1960,13040000000.0,"Life expectancy at birth, total (years)",55.017
Peru,PER,GDP (current US$),1960,,"Life expectancy at birth, total (years)",50.495
United States,USA,GDP (current US$),1960,541988586206.897,"Life expectancy at birth, total (years)",69.7707317073171
Chile,CHL,GDP (current US$),1961,4829238095.2381,"Life expectancy at birth, total (years)",57.537
China,CHN,GDP (current US$),1961,50056685957.359,"Life expectancy at birth, total (years)",40.468
United Kingdom,GBR,GDP (current US$),1961,77741965703.3544,"Life expectancy at birth, total (years)",70.8780487804878
Mexico,MEX,GDP (current US$),1961,14160000000.0,"Life expectancy at birth, total (years)",55.831
Peru,PER,GDP (current US$),1961,,"Life expectancy at birth, total (years)",51.091
United States,USA,GDP (current US$),1961,561940310344.828,"Life expectancy at birth, total (years)",70.2707317073171
Chile,CHL,GDP (current US$),1962,5631285444.2344,"Life expectancy at birth, total (years)",57.771
China,CHN,GDP (current US$),1962,47209186415.3555,"Life expectancy at birth, total (years)",50.818
United Kingdom,GBR,GDP (current US$),1962,81247564156.8246,"Life expectancy at birth, total (years)",70.9268292682927
Mexico,MEX,GDP (current US$),1962,15200000000.0,"Life expectancy at birth, total (years)",56.599
Peru,PER,GDP (current US$),1962,,"Life expectancy at birth, total (years)",51.31
United States,USA,GDP (current US$),1962,603639413793.103,"Life expectancy at birth, total (years)",70.119512195122
Chile,CHL,GDP (current US$),1963,5591307028.36005,"Life expectancy at birth, total (years)",57.15
China,CHN,GDP (current US$),1963,50706614526.1472,"Life expectancy at birth, total (years)",51.408
United Kingdom,GBR,GDP (current US$),1963,86561961812.3249,"Life expectancy at birth, total (years)",70.8268292682927
Mexico,MEX,GDP (current US$),1963,16960000000.0,"Life expectancy at birth, total (years)",57.31
Peru,PER,GDP (current US$),1963,,"Life expectancy at birth, total (years)",52.2
United States,USA,GDP (current US$),1963,637058551724.138,"Life expectancy at birth, total (years)",69.9170731707317
Chile,CHL,GDP (current US$),1964,5964195925.4443,"Life expectancy at birth, total (years)",58.738
China,CHN,GDP (current US$),1964,59708125203.8643,"Life expectancy at birth, total (years)",52.156
United Kingdom,GBR,GDP (current US$),1964,94407558351.1616,"Life expectancy at birth, total (years)",71.6243902439024
Mexico,MEX,GDP (current US$),1964,20080000000.0,"Life expectancy at birth, total (years)",57.947
Peru,PER,GDP (current US$),1964,,"Life expectancy at birth, total (years)",52.717
United States,USA,GDP (current US$),1964,684144620689.655,"Life expectancy at birth, total (years)",70.1658536585366
Chile,CHL,GDP (current US$),1965,6108679125.7523,"Life expectancy at birth, total (years)",59.455
China,CHN,GDP (current US$),1965,70436008642.4251,"Life expectancy at birth, total (years)",52.912
United Kingdom,GBR,GDP (current US$),1965,101824755078.991,"Life expectancy at birth, total (years)",71.6243902439024
Mexico,MEX,GDP (current US$),1965,21840000000.0,"Life expectancy at birth, total (years)",58.499
Peru,PER,GDP (current US$),1965,,"Life expectancy at birth, total (years)",53.183
United States,USA,GDP (current US$),1965,741904862068.965,"Life expectancy at birth, total (years)",70.2146341463415
Chile,CHL,GDP (current US$),1966,7162633082.31628,"Life expectancy at birth, total (years)",59.689
China,CHN,GDP (current US$),1966,76720005491.8964,"Life expectancy at birth, total (years)",53.637
United Kingdom,GBR,GDP (current US$),1966,108572752102.045,"Life expectancy at birth, total (years)",71.5731707317073
Mexico,MEX,GDP (current US$),1966,24320000000.0,"Life expectancy at birth, total (years)",58.981
Peru,PER,GDP (current US$),1966,,"Life expectancy at birth, total (years)",53.699
United States,USA,GDP (current US$),1966,813032758620.69,"Life expectancy at birth, total (years)",70.2121951219512
Chile,CHL,GDP (current US$),1967,7057478295.18548,"Life expectancy at birth, total (years)",60.72
China,CHN,GDP (current US$),1967,72881364882.4909,"Life expectancy at birth, total (years)",54.351
United Kingdom,GBR,GDP (current US$),1967,113116888210.787,"Life expectancy at birth, total (years)",72.1243902439024
Mexico,MEX,GDP (current US$),1967,26560000000.0,"Life expectancy at birth, total (years)",59.42
Peru,PER,GDP (current US$),1967,,"Life expectancy at birth, total (years)",54.223
United States,USA,GDP (current US$),1967,859620034482.759,"Life expectancy at birth, total (years)",70.5609756097561
Chile,CHL,GDP (current US$),1968,7192102966.84119,"Life expectancy at birth, total (years)",61.63
China,CHN,GDP (current US$),1968,70846276051.4727,"Life expectancy at birth, total (years)",55.057
United Kingdom,GBR,GDP (current US$),1968,107759910067.889,"Life expectancy at birth, total (years)",71.7243902439025
Mexico,MEX,GDP (current US$),1968,29360000000.0,"Life expectancy at birth, total (years)",59.835
Peru,PER,GDP (current US$),1968,,"Life expectancy at birth, total (years)",54.747
United States,USA,GDP (current US$),1968,940225000000.0,"Life expectancy at birth, total (years)",69.9512195121951
